Category,Resume
Automation Testing,"SOCIAL SKILLS  Ability to establish trust and work with a team  Determined with good work ethics  Ability to work under difficult situationsEducation Details 
January 2011 to January 2016   Mumbai Maharashtra MUMBAI UNIVERSITY
Bachelor of Electronics Engineering Electronics Engineering Mumbai Maharashtra Atharva College of Engineering at MaladAutomation and Electrical engineerAutomation and Electrical Engineer  SMEC AUTOMATION PVT LTDSkill Details 
Company Details 
company  SMEC AUTOMATION PVT LTD
description  18 Supply installation testing and commissioning of water level sensor and valve actuators for water tanks at BARC hospital Anushaktinagar Trombay and BARC facility at Kalyan
Implemented of academy projects like Automatically tank filling with relay and float sensor level control bottle filling on conveyor belt motion and waste material crashing then separated on conveyor belt motion with PLC controlling
Role of Automation and Instrumentation Engineer Marine and Industrial Automation
Recalibration of field Instruments like control valve actuators sensors and transmitters for pneumatic and electrical
Research and developing on new automated system
Level flow and temperature process control with PID of various brands Nippon Selec etc
PLC panel wiring DOL and Star delta control wiring of 3 phase induction motor
Panel testing IP knowledge
Control Panel quality check and assurance
Eletrical Single Line Daigram SLD and power wiring daigram
Internship experience
company  SMEC AUTOMATION PVT LTD
description  Company Profile
SMEC Automation provides specialized technical consulting services and custom engineered products to the marine energy and offshore industries applying advanced methods and technologies SMEC Automation is one of Indias leading manufacturers of automation and monitoring equipment for oceangoing vessels especially in Marine Boiler and Main Engine Control IGG Inert Gas Generator and Alarm System
Project
company  SMEC AUTOMATION PVT LTD
description  Completed Internship of Instrumentation and Calibrations in SMEC Automation Pvt Ltd for 6 months duration from 8th June 2016 to 30th November 2016
TECHNICAL QUALIFICATION
Underwent Post Graduate Diploma in Industrial Calibration and Instrumentation and Post Graduate Diploma in Industrial Automation in duration of 3 months each with hands on practical exposure to Industrial Automation Tools like PLC PAC SCADA HMI INTERFACING DRIVES MCC PANEL and VFD
Successful in the examination as Post Graduation Diploma in Industrial Automation and Post Graduation Diploma in Industrial Instrumentation with TUV Rheinland Certified Qualification on 07112016
TECHNICAL SKILLS
Calculation and selection of cable switchgear and protection
Expertise in PLC Hardware like AB Schneider Siemens Omron Delta ABB and GEFanuc Knowledge on control relay logic and ladder logic
Having good knowledge in designing and interfacing PLC with SCADA such as Intouch VijeoCitect WinCC iFix and Factory TalkView Real time data acquisition from OPC Kepware HMI  interfacing
Handling VFD for motor control SchneiderElectric ALTIVAR 28 Series
Calibration of Pressure gauge Temperature gauge Control Valve Level or Flow measurements and control Druck Injector Smart DP transmitter using HART COMMUNICATOR Piping and Instrumentation Diagram Hand Tools Tubes and Pipe fitting Cable and Cable Glanding
Have basic knowledge of HONEYWELL DCS C300 and its programming
Completed 5 days Robotic workshop KUKA KR 16 at Atharva College of Engineering
Training of 2 weeks at RK Electricals
COMPUTER SKILLS
Electrical designing software basic AutoCAD and EPLAN
PLC Software Rockwell Twidosuite Step7Microwin SP2 Unity Pro XL CXProgrammer WPL Software Codesys and Versa Pro Designing software Wonderware CitectScada74 Proficy HMI SCADAiFIX and FactotyTalk View
Successfully completed Spoken Tutorial program on C C and JAVA Programming individually conducted by IITBOMBAY
Completed 5 days basic course for Basic Of Mac OS at Atharva College of Engineering Completed Phython Workshop conducted by CodeStrike of 1 day in 15 at Atharva College of Engineering
Operating System Windows Mac"
Blockchain,"Skills Strong CS fundamentals and problem solving Ethereum Smart Contracts Solidity skills Golang Node Angular React Culturally fit for startup environment MongoDB PostGresql MySql Enthusiastic to learn new technologies AWS Docker Microservices Blockchain Protocol ConsensusEducation Details 
January 2014 MTech Computer Engineering Jaipur Rajasthan Malaviya National Institute Of Technology Jaipur
January 2011 BE Computer Science And Engg Kolhapur Maharashtra Shivaji UniversityBlockchain EngineerBlockchain Engineer  XINFIN OrgnizationSkill Details 
MONGODB Exprience  16 months
CONTRACTS Exprience  12 months
MYSQL Exprience  9 months
AWS Exprience  6 months
PROBLEM SOLVING Exprience  6 monthsCompany Details 
company  XINFIN Orgnization
description  Xinfin is a global open source Hybrid Blockchain protocol
Rolled out multiple blockchain based pilot projects on different use cases for various clients Eg
Tradefinex Supply chain Management Land Registry Govt of MH inFactor Invoice Factoring
Build a secure and scalable hosted wallet based on ERC 20 standards for XINFIN Network
Working on production level blockchain use cases
Technology Ethereum Blockchain Solidity Smart Contracts DAPPs Nodejs
company  ORO Wealth
description  OroWealth is a zero commision online investment platform currently focused on direct mutual funds
Build various scalable web based products B2B and B2C based on MEAN stack technology and integrated  with multiple finance applicationsentities eg Integration KYC and MF Entities
Technology Nodejs Angularjs MongoDB Express
company  YallaSpree
description  Hyderabad Telangana
Yallaspree is a largest digital shopping directory in UAE with over 22K stores
Own the responsibility to develop and maintain following modules
Admin and Vendor interface        Database operations
Writing Webservices                       Complete Notification system
Events  and Offers Page
Technology CakePHP PHP Framework JQuery MySql
company  RailTiffincom
description  Mumbai Maharashtra
RailTiffincom is an ecommerce platform to serve food to railway passengers
Worked on multiple roles like bug fixing DB operations Feature customisation and writing API endpoints
Technology OpenCart Ecommerce Framework JQuery MySql
company  Accolite Software India Private Limited
description  Bengaluru KA
Accolite is a global IT Services company headquartered in Dallas USA with offices in India
Worked on Birst Analytics Tool to develop deploy and maintain reports"
Data Science,"Education Details 
May 2013 to May 2017 BE   UITRGPVData ScientistData Scientist  MatelabsSkill Details 
Python Exprience  Less than 1 year months
Statsmodels Exprience  12 months
AWS Exprience  Less than 1 year months
Machine learning Exprience  Less than 1 year months
Sklearn Exprience  Less than 1 year months
Scipy Exprience  Less than 1 year months
Keras Exprience  Less than 1 year monthsCompany Details 
company  Matelabs
description  ML Platform for business professionals dummies and enthusiasts
60A Koramangala 5th block
AchievementsTasks behind sukh sagar Bengaluru
India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value
treatment outlier detection encoding scaling feature selection and dimensionality reduction
Deployed automated classification and regression model
linkedincominadityarathore
b4600b146                           Reasearch and deployed the time series forecasting model ARIMA SARIMAX Holtwinter and
Prophet
Worked on metafeature extracting problem
githubcomrathorology
Implemented a state of the art research paper on outlier detection for mixed attributes
company  Matelabs
description  "
Database,"Technical Skills Databases Oracle RDBMS 10g 11g  12c Technologyutilities Data Pump RMAN Data guard ASM RAC Golden Gate Tools OCC PUTTY SQLPLUS SQL Developer Netbackup SCOM SCCM VMWare Vsphere Operating Systems RHEL 60 RHEL 65 UNIX and Microsoft WindowsEducation Details 
Database AdministratorDatabase Administrator  BNY MellonSkill Details 
DATABASES Exprience  24 months
ORACLE Exprience  24 months
RMAN Exprience  24 months
NETBACKUP Exprience  24 months
SCOM Exprience  24 monthsCompany Details 
company  BNY Mellon
description  Databases 600
Team Size 8
Duration Jan 2017  Till Date
Clients Over 130 investment banking organizations who are hosted with Eagle
Responsibilities Database Management Support and managing critical production Preproduction test and reporting databases in different platforms Capacity Management Upgrades
Handling day to day database activities monitoring and incident management
Building new databases as per the requirement and prepare them for go live with the help of multiple teams
Working on scheduled activity of database patching CPU PSU  Installing latest path on production Dev and Test databases as per the suggestion from Oracle support
Database Upgrade from 11g and to 12c
Adding disks to ASM disk groups
Building DR database using Active Data guard Make it sync with prod and resolving issues if persists  Data Guard Management Checking lagging status removing lagging of archives checking processes like RFSMRP Archives Management  Working on tablespace related issues  Managing user access and profiles  Importing and exporting using datapump  Maintaining inventory of all databases in the single centralize database  Refreshing test environment from production database
Working with Oracle Support to resolve oracle errors
Schedule daily and weekly databases backup using RMAN Troubleshooting in RMAN issues
Database cloning using RMAN
Take part in cutover to upgrade application to higher version
Strictly following ITIL process in incident management and change management
Providing weekly report of issues in team meeting also participating and suggesting service improvement plans
Database Migrations from one server to another or to different platforms  RCA and impact analysis reporting during any production outage
Previous Organization Brose India
Project I Central IT Management
company  
description  Responsibilities Managing our internal databases and servers of Brose global
Providing 24x7 oncall support in the rotational shifts
Performing daytoday database activity  Monitoring and responding DBA group Mails for all alerts issues and adhoc business user requests etc
Database creation patching  Backup of Database in frequent cycles using Data pumpRMAN
Database refreshes using RMAN Datapump
Recovery using copy of data  RMAN  Monitoring logs and trace for resolving issues
Creating new VM servers and prepare it for go live Also decommissioning as per requirements
Weekly patching of windows servers using SCCM and taking actions for patching if needed  Monitoring and troubleshooting of daily and weekly OS backup using Symantec Netbackup  Managing user accounts of OS users and database users  Monitoring OS level alerts using SCOM
Project II Data Center Migration Onsite Project
Responsibilities Data center migration was one of activity for migration of our datacenter from one location to another Where our all servers and databases were moved successfully
Installation of Oracle 11g on Linux platforms  Worked on service requests Incidents  Change  Request  Creation of users managing user privileges  Configured RMAN backup for databases  Patching of databases  Configuring physical standby database using Dataguard  Cloning of servers and migrate to another cluster
ACADEMIA  PERSONAL DETAILS  Bachelor of Engineering BE in Computer Science and Engineering From SGBAU Amravati University Amravati in 2014 with CGPA of 721
Current Address       Mr Yogesh Tikhat CO Raj Ahmad Flat G2702 Dreams Aakruti Kalepadal Hadapsar Pune  411028
Highest Qualification   BE cse
PAN                   AOFPT5052C"
DevOps Engineer,"Skills VISA B1VISA USA Onsite Visits to Sweden  US Seattle Education Details 
January 2013 Post Graduate Diploma Information Technology Pune Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune Maharashtra Pune UniversityCloud Operations Architect DevOpsCloud Operations Architect DevOps  DevOpsSkill Details 
Cloud Computing Exprience  48 months
Shell Scripting Exprience  96 months
Python Exprience  6 months
Automation Exprience  72 months
Solution Architect Exprience  Less than 1 year months
Azure Exprience  Less than 1 year months
AWS Exprience  Less than 1 year monthsCompany Details 
company  DevOps
description  Type DevOps Engineer
Platform AWS Cloud Azure Cloud
Services AWS EC2 RDS CloudFormation Template Lambda Dynamo DB		Cloud Watch Autoscaling Elastic Bean stalk Appdynamics
Here I manage Tibco Spotfire enterprise  Cloud Product support Being the only Ops member in India I got a chance to recruit  build entire team of 15 members I also worked on 4 different Projects  products simultaneously and added the hired members into these products
My responsibilities in this project include
1 Managing Tibco Spotfire Enterprise  Cloud environment
2 Helping India QA team with the preproduction environment for testing
3 Coordinating production deployment  hotfixes
4 Leading the team and handling 4projects
5 Arranging workshops over new AWS services for entire Team
Shell scripts for Automation
Wrote shell script to extract the AWS running instances and shut it down
Wrote shell script to extract free EIP and release those
Wrote Lambda function to trigger important scripts
company  Synechron Technologies Limited
description  Type Administration automation  Monitoring
Platform LinuxUnix LinuxXen Servers
Software Puppet Redhat Satellite server mysql database shell scripting
My responsibilities in this project included
1 Managing linux media servers farms and provide application support
2 Patching Linux physical and xen boxes
3 Creating Satellite channels on Satellite server
4 Automation via shell scripting and mysql DB support
5 Troubleshooting the customized applications
company  Tsys Limited
description  Type Development automation  Monitoring
Platform LinuxUnix windows
Software mysql database shell scripting
Here my responsibility was to provide access to the users on RHDS Cvs and dot project servers
It also included providing access to users on devprod VDI servers Handling mysql database and shell scripting to automate the tasks
My responsibilities in this project included
1 Requirements and Analysis Understanding the requirements of the project and planning the environment and the access required
2 Implementing mysql replication over linux servers
3 Fine tuning the existing applications
4 Testing  debugging the scripts for any errors
company  Patni Computer Systems Limited
description  Project CPI
Type Development automation  Monitoring
Platform P8 Filenet LinuxUnix IBM AIX
Software Sound knowledge of HTML shell scripting
Client Genworth Financial
Duration 2 yrs 2 months
Role Senior System Engineer
CPI is a Maintenance Project that caters to maintenanceenhancements of different applications which are a part of Genworth Imaging Solutions It has different applications that process the scanned Insurance documents sent from different Providers and stores the information in Oracle Database and images in P8 Filenet It has multiple applications to generate reports to be sent to providers
Administration Support
Providing support to the L1 engineers
Monitoring P8 Filenet application
Handling Tickets raised by the users
Administration of the 10 Linux Proxy servers and mysql servers
Implementing mysql replication
Checking the logs of the sites visited by the users and the data downloaded
Mysql  Oracle  SQL Support
Preparing SQL queries for the client users
Handling Oracle database
Testing insert select update queries over servers and deploying over production
Handling the bugs raised by the users
Implementing mysql replication over linux servers
Taking database backup through mysql dump
Application Support
To make sure that the customer applications like eProcess Trexo are working fine
To make sure all the customized filenet instances are working fine
Writing scripts to automate few of the applications
Shell scripts for Automation
Wrote shell script to delete the logs older than five days which was successfully deployed over Production servers"
DotNet Developer,"Technologies ASPNET MVC 304050 Unit Testing Entity Framework 60 Languages CNET JS Library JavaScript JQuery Angular15 Typescript Tools Visual Studio 2008201020122015 Visual Studio Code IDE NET Framework 20 35 40 45 Databases SQL Server 2005 2008 2014 2015 Source control tools Tortoise SVN GitEducation Details 
January 2010 BTech  Kakinada Andhra Pradesh JNTUDot Net DeveloperDot Net Developer  The Tie BarSkill Details 
NET Exprience  34 months
ASP Exprience  34 months
ASPNET Exprience  34 months
C Exprience  34 months
JAVASCRIPT Exprience  34 monthsCompany Details 
company  The Tie Bar
description  Duration January 2017 to Till Date
Responsibility
Design and coding in a NET serverside environment specifically utilising the Microsoft MVC framework and client side environment using Knockout JS
Consuming Web API and WCF Rest full services
Designed and coded application components in an agile environment utilizing a test driven development approach
Created and maintained project tasks and schedules
Provided programming estimates identified potential problems and recommended alternative solutions
Worked in close cooperation with project managers and other functional team members to form a team effort in development
Utilized pair programming approach to ensure high quality code
Projects
Title THE TIEBAR
Environment Visual Studio 2015 MVC 50 C JavaScript JSON LINQ HTML 5
Database SQL Server 2015
Role Developer
Description
The Tie Bar is US based online shopping website it is the onestop destination for luxury menswear with premium dress shirts ties bow ties and more
Title Leave Management System
Environment Visual Studio 2010 ASPNet CNet JavaScript JQuery
Database SQL Server 2008
Role Developer
Description
A Leave Management System is a web application having two module one is front end and second is admin module Admin user can manage the site content in this application The main functionality of this web application is used for maintaining the employee leave policy in a company
Title Around Pune CMS
Environment Visual Studio 2010 ASPNet CNet JavaScript JQuery
Database SQL Server 2008
Role Developer
Description
Around Pune is a web application In that there are two modules one is admin module and another is client or front end Admin module controls the site date or its cms content management system project The purpose of this site is to show or provide the details of all the spots and tourists places around the Pune
Title Country Side
Environment Visual Studio 2008 ASPNet CNet JavaScript JQuery
Database SQL Server 2008
Role Developer
Description
This is cms content management system website controlling by admin user In that there is one admin module to maintain website content This site is used to provide information about tourist places and provide offers Different packages for trips
company  Hamsa Hitech Pvt Ltd
description  Responsibility
Design and coding in a NET serverside environment specifically utilising the AspNet and CNet
Design and implement systems that use relational databases specifically SQL 2008
Project
Title A G JOHNSON
Environment Visual Studio 2010 ASPNet CNet JavaScript JQuery
Database SQL Server 2008
Role Developer
Description
A G JOHNSON is a global employment website The main purpose of this application is to recruit employees for their clients in different countries like Switzerland Norway and Sweden and it provide services like Organisational Development Management and Leadership Support and Development Legal Support
Title CRM for Company
Environment Visual Studio 2008 ASPNet 30 using CNet JavaScript JQuery
Database SQL Server 2008
Role Developer
Description
Customer relationship management System is a web application Which is maintaining the relation with company  We can view the Project List Client List Notification List Appointment List Conversation List Client Person List and Company Person"
ETL Developer,"TechnicalProficiencies DB Oracle 11g Domains Investment Banking Advertising Insurance Programming Skills SQL PLSQL BI Tools Informatica 91 OS Windows Unix Professional Development Trainings  Concepts in Data Warehousing Business Intelligence ETL  BI Tools Informatica 9X Education Details 
BCA  Nanded Maharashtra Nanded UniversityETL DeveloperETL Developer  Sun Trust Bank NYSkill Details 
ETL Exprience  39 months
EXTRACT TRANSFORM AND LOAD Exprience  39 months
INFORMATICA Exprience  39 months
ORACLE Exprience  39 months
UNIX Exprience  39 monthsCompany Details 
company  Sun Trust Bank NY
description  Sun Trust Bank NY JAN 2018 to present
Client Sun Trust Bank NY
Environment Informatica Power Center 91 Oracle 11g unix
Role ETL Developer
Project Profile
Sun Trust Bank is a US based multinational financial services holding company headquarters in NY that operates the Bank in New York and other financial services investments The company is organized as a stock corporation with four divisions investment banking private banking Retail banking and a shared services group that provides
Financial services and support to the other divisions
The objective of the first module was to create a DR system for the bank with a central point of communication and storage for Listed Cash securities Loans Bonds Notes Equities Rates Commodities and
FX asset classes
Contribution  Highlights
Liaising closely with Project Manager Business Analysts Product Architects and Requirements Modelers CFOC to define Technical requirements and create project documentation
Development using Infa 91 11gOracle UNIX
Use Informatica PowerCenter for extraction transformation and loading ETL of data in the Database
Created and configured Sessions in Informatica workflow Manager for loading data into Data base tables from various heterogeneous database sources like Flat Files Oracle etc
Unit testing and system integration testing of the developed mappings
Providing production Support of the deployed code
Providing solutions to the business for the Production issues
Had one to One interaction with the client throughout the project and in daily meetings
Project 2
company  Marshall Multimedia
description  JUN 2016 to DEC 2017
Client Marshall Multimedia
Environment Informatica Power Center 91 Oracle 11g unix
Role ETL Developer
Project Profile
Marshall Multimedia is a US based multimedia advertisement services based organization which has
head courter in New York EGC interface systems are advert management Customer Management Billing and
Provisioning Systems for Consumer Enterprise Customers
The main aim of the project was to create an enterprise data warehouse which would suffice the need of reports belonging to the following categories Financial reports management reports and
rejection reports The professional reports were created by Cognos and ETL work was performed by
Informatica This project is to load the advert details and magazine details coming in Relational tables into data warehouse and calculate the compensation and incentive amount monthly twice as per business
rules
Contribution  Highlights
Developed mappings using different sources by using Informatica transformations
Created and configured Sessions in Informatica workflow Manager for loading data into Data Mart tables from various heterogeneous database sources like Flat Files Oracle etc
2
Unit testing and system integration testing of the developed mappings
Providing solutions to the business for the Production issues
Project 3
company  Assurant healthcareInsurance Miami USA
description  Assurant USA                                                                                                    NOV 2015 to MAY 2016
Project ACT BI  State Datamart
Client Assurant healthcareInsurance Miami USA
Environment Informatica Power Center 91 Oracle 11g unix
Role ETL Developer
Project Profile
Assurant Inc is a holding company with businesses that provide a diverse set of specialty nichemarket insurance
products in the property casualty life and health insurance sectors The companys four operating segments are Assurant
Employee Benefits Assurant Health Assurant Solutions and Assurant Specialty Property
The project aim at building State Datamart for enterprise solution I am part of team which is responsible for ETL
Design  development along with testing
Contribution  Highlights
Performed small enhancement
Daily load monitoring
Attend to Informatica job failures by analyzing the root cause resolving the failure using standard
documented process
Experience in writing SQL statements
Strong Problem Analysis  Resolution skills and ability to work in Multi Platform Environments
Scheduled the Informatica jobs using Informatica scheduler
Extensively used ETL methodology for developing and supporting data extraction transformations and loading process in a corporatewideETL Solution using Informatica
Involved in creating the Unit cases and uploaded in to Quality Center for Unit Testing and UTR
Ensure that daily support tasks are done in accordance with the defined SLA"
Hadoop,"Technical Skills Programming Languages C C Java Net J2EE HTML5 CSS MapReduce Scripting Languages Javascript Python Databases Oracle PLSQL MYSQL IBM DB2 ToolsIBM Rational Rose R Weka Operating Systems Windows XP Vista UNIX Windows 7 Red Hat 7Education Details 
January 2015 BE  Pimpri Chinchwad MAHARASHTRA IN Pimpri Chinchwad College of Engineering
January 2012 Diploma MSBTE  Dnyanganaga Polytechnic
SSC   New English School TakaliHadoopBig Data DeveloperHadoopBig Data Developer  British TelecomSkill Details 
APACHE HADOOP MAPREDUCE Exprience  37 months
MapReduce Exprience  37 months
MAPREDUCE Exprience  37 months
JAVA Exprience  32 months
NET Exprience  6 monthsCompany Details 
company  British Telecom
description  Project British Telecom project UK
Responsibilities
Working on HDFS MapReduce Hive Spark Scala Sqoop Kerberos etc technologies
Implemented various data mining algorithms on Spark like Kmeans clustering Random forest Nave bayes etc
A knowledge of installing configuring maintaining and securing Hadoop
company  DXC technology
description  HPE legacy Bangalore
Worked on Hadoop  Java programming
Worked on Azure and AWS EMR services
Worked on HDInsight Hadoop cluster
Design develop document and architect Hadoop applications
Develop MapReduce coding that works seamlessly on Hadoop clusters
Analyzing and processing the large data sets on HDFS
An analytical bent of mind and ability to learnunlearnrelearn surely comes in handy"
Java Developer,"SKILLS  1 Team leading 2 Selfmotivated 3 Hard working  Strengths Ready to learn new Programming Languages Punctual Discipline Respectfulness DECLARATION I hereby inform you that all the statement made above are true with the best of my knowledge and belief Education Details 
August 2014 to July 2017 MCA Computer Sciene Amravati Maharashtra SGBAU AmaravtiJava Web DeveloperSkill Details 
Core JavaJSPServletSpringHibernateStrutsJavascript Exprience  6 monthsCompany Details 
company  Salcluster Technologies
description  1  I am Java web developer
2 Jsp  servlet Sprinng MVC Technologies"
Network Security Engineer,"Operating Systems Windows Linux Ubuntu Network Technologies  Cisco Routing and Switching InterVLAN Routing Dynamic Protocols ie RIPv2 RIPng OSPF EIGRP Static Routing ACL VTP VLAN EhterChannel HSRP STP IPv6 Lan Troubleshooting Structured Network Cabling Cisco Firewall and Fortinet Firewall RHEL 6 networks Networking Devices  Cisco Routers 1800s 1900s 2600s 2900s 3600s 3800s 7200s etc  Cisco Switches Cisco Catalyst 2900s 3700s 4850s etc  HP ProLiant Servers Dell Server Lenovo Servers etc  Fortinet Firewall Modem etc Server Technologies  AD RODC FTP Print Server SCCM WDS DHCP Group Policies DHCP Server DNS Server RIS Server User policies computer policies etc Backup Technologies Server 2016 backup tools Symantec Backup EXEC 12D etc Virtualisation VMWare ESXi VMware Workstation Oracle VirtualBox GNS3 Network Simulator etc Education Details 
MSC   AISECT university in distance education
B Com   Jiwaji UniversitySr Network EngineerSr Network Engineer  Cloudatix Network Pvt LtdSkill Details 
CISCO Exprience  43 months
DHCP Exprience  43 months
DNS Exprience  43 months
FTP Exprience  43 months
LAN Exprience  43 monthsCompany Details 
company  Cloudatix Network Pvt Ltd
description  18
Project Routers Switches and Server Configuration with Group Policies
Client RailwireRailtel Corporation of India Ltd Mumbai
Type of Project Configuration of WiFi AP of Railway Station in Maharashtra State
Role Sr Network Engineer
Roles  responsibilities
Earthing trenching for equipment
Making plans for preparing station to WiFi environment including cabling installation commissioning handing over etc
Implementing and maintaining backup schedules
Upgrading and backups of Cisco router configuration files
Installation Configuration and Administration of Windows Servers 2008 R2 2012 R2 2016 Active Directory FTP DNS DHCP TFTP
Troubleshooting LAN  WAN infrastructure
Settings of the networking devices Cisco Router switches cocoordinating with the systemnetwork administrator during implementation
Regular Health Checking of File Servers  Application Servers for Security violation Disk Spaces etc
Maintaining  Management windows 7  10 based network
Installing  Configuring Network Printers
Assigning proper rights on shared drives
User  Groups management and assigning rights according to organization requirements
company  Asha MMPC
description  Project Routers Switches and Server Configuration with Group Policies
Client Asha MMPC Bali Pali Rajasthan
Type of Project Configuration DPMCU Milknet Server EMS Server QMS Server etc
Role IT Executive
Roles  responsibilities
Implementing and maintaining backup schedules
Upgrading and backups of Cisco router configuration files
Installation Configuration and Administration of Windows Servers 2008 R2 2012 R2 2016 Active Directory FTP DNS DHCP TFTP
Troubleshooting LAN  WAN infrastructure
Settings of the networking devices Cisco Router switches cocoordinating with the systemnetwork administrator during implementation
Regular Health Checking of File Servers  Application Servers for Security violation Disk Spaces etc
Maintaining  Management windows 7  10 based network
Installing  Configuring Network Printers
Assigning proper rights on shared drives
User  Groups management and assigning rights according to organization requirements
company  Interface Techno System
description  Project           Routers Switches and Server Configuration with Group Policies
Client            The Scindia School Fort Gwalior MP
Type of Project   Configuration and Implementation
Role              Network Engineer
Roles  responsibilities
Implementing and maintaining backup schedules
Upgrading and backups of Cisco router configuration files
Installation Configuration and Administration of Windows Servers 20002003 2008 R2 2012 R2 Active Directory FTP DNS DHCP TFTP Linux OS
Working on troubleshooting of complex LAN infrastructure
Settings of the networking devices Cisco Router switches cocoordinating with the systemNetwork administrator during implementation
Regular Health Checking of File Servers  Application Servers for Security violation Disk Spaces etc
Maintaining  Management windows 7 professional based network
Installing  Configuring Network Printers
Installing Server side Softwares  Utilities
Assigning proper rights on shared drives
Managing user account
company  Interface Techno System
description  Project           Network Implementation and Configuration
Client            Ms Teva API India Pvt Ltd Bhind MP
Type of Project   Implementation and Configuration
Role              Network Support Engineer
Roles  responsibilities
Implementing and maintaining backup schedules
Upgrading and backups of Cisco router configuration files
Installation Configuration and Administration of Windows Servers 20002003 2008 R2 2012 R2 Active Directory FTP DNS DHCP TFTP Linux OS
Working on troubleshooting of complex LAN infrastructure
Settings of the networking devices Cisco Router switches cocoordinating with the systemNetwork administrator during implementation
Configuration Maintenance check Point Endpoint Security MI Management Console for Laptop Users
Regular Health Checking of File Servers  Application Servers for Security violation Disk Spaces etc
Logging  Monitoring Calls using CA Unicenter Service Desk Manager
Maintaining  Management windows XP professional based network
Installation Configuration  troubleshooting of Microsoft Outlook
Installing  Configuring Network Printers
Installing Server side Softwares  Utilities
Assigning proper rights on shared drives
Managing user account
Issue E Token for laptop user
Managing more than 350 Desktops and Laptops
Taking differential and full backups of the server through Symantec Backup Exec 12D
Restoring the Files which got corrupted or deleted accidentally
Handling escalations of desktop calls from remote locations
MonthlyWeekly Report Generations for the servers
Preparing MIS vendor  inventory management reports
company  Nava Bharat Press P Ltd
description  Role   System Engineer
Roles  responsibilities
Server Management
Backup management
Helpdesk SLA monitoring and incident management
Hosting client meeting at scheduled interval
System Management and Troubleshooting
Hardware Troubleshooting
Additional Qualification  Certifications
Manual and Computerized accounting with Tally ERP9 Tally certification from Tally Academy"
